DateTime,AddedIPs,RemovedIPs
1526695977,0,1
1526697892,0,2
1526699815,2,1
1526701727,1,0
1526707486,0,3
1526709435,0,4
1526711315,0,2
1526713319,1,1
1526715151,1,2
1526717088,1,0
1526719003,0,1
1526722846,1,1
1526724755,1,0
1526726692,1,0
1526728608,1,1
1526730520,0,2
1526734607,0,1
1526736528,1,1
1526738500,1,0
1526740371,0,1
1526744189,2,1
1526746164,1,0
1526749972,1,1
1526752034,2,0
1526754033,0,1
1526755935,1,2
1526757874,0,1
1526759775,1,1
1526761695,0,1
1526765788,1,2
1526767709,0,1
1526769584,1,0
1526773464,1,0
1526775406,3,2
1526777324,4,3
1526779218,1,0
1526781139,1,0
1526783081,1,0
1526784987,2,1
1526787156,6,2
1526789097,1,0
1526794831,1,2
1526796776,2,0
1526798672,0,1
1526800594,1,0
1526802547,1,0
1526806362,2,0
1526808295,2,2
1526810194,2,0
1526812113,1,3
1526814098,3,0
1526816232,3,1
1526818116,1,0
1526823867,2,1
1526825806,3,1
1526827706,0,1
1526829650,0,2
1526831575,1,1
1526833488,1,0
1526835406,1,1
1526837329,0,1
1526839304,1,1
1526841167,1,1
1526844985,0,3
1526848847,1,0
1526850779,4,0
1526852692,1,0
1526857497,2,1
1526859391,1,0
1526861460,0,3
1526863465,0,2
1526865392,2,4
1526867298,1,0
1526869166,1,1
1526871139,2,1
1526873028,0,7
1526874977,1,0
1526876828,0,2
1526878915,1,1
1526881004,1,1
1526882944,1,1
1526884843,2,0
1526886796,0,1
1526888687,1,1
1526890595,2,0
1526894434,0,2
1526896384,2,2
1526898311,0,2
1526900232,1,3
1526902115,2,3
1526904110,1,1
1526907888,0,1
1526909961,2,2
1526911872,0,1
1526917719,1,1
1526919915,2,2
1526921809,0,1
1526923714,1,1
1526925705,1,0
1526927590,0,1
1526929510,0,1
1526931640,1,0
1526934701,0,1
1526936707,2,3
1526938835,1,0
1526943214,1,1
1526945106,2,2
1526947117,3,0
1526950923,2,2
1526952784,1,1
1526954996,1,1
1526959480,0,2
1526961425,4,0
1526963595,1,0
1526965488,1,2
1526967646,4,1
1526969578,0,1
1526971488,1,2
1526973405,1,0
1526975563,1,1
1526977498,0,2
1526979434,1,0
1526981338,2,0
1526983304,0,1
1526985176,3,0
1526987078,2,0
1526988999,0,3
1526992878,16,0
1526994769,2,0
1526996731,1,1
1527002440,0,2
1527006295,0,1
1527008190,2,0
1527010135,1,2
1527014229,2,0
1527016146,0,2
1527018056,0,1
1527021907,1,0
1527024199,0,2
1527026092,1,0
1527028127,0,1
1527030152,2,1
1527031980,1,3
1527033907,0,2
1527036034,3,0
1527037981,0,3
1527039903,4,1
1527041811,1,1
1527045641,0,1
1527047594,4,3
1527049493,1,0
1527051424,1,2
1527053334,4,1
1527055313,1,1
1527059107,1,2
1527061016,2,1
1527062946,1,0
1527064875,2,1
1527066785,0,4
1527068705,6,0
1527070623,5,2
1527073013,1,3
1527074939,2,0
1527078773,0,3
1527080690,0,2
1527082614,1,0
1527088589,1,1
1527090515,1,0
1527094620,0,1
1527096509,1,0
1527100359,2,3
1527102280,1,2
1527104208,4,1
1527109971,0,1
1527111914,2,0
1527115979,1,2
1527117884,1,1
1527119811,1,0
1527121827,0,2
1527123736,0,1
1527125583,2,3
1527127937,2,2
1527129860,2,0
1527131796,1,0
1527133972,2,16
1527137819,1,1
1527139773,2,4
1527141720,3,1
1527143679,2,0
1527145980,1,3
1527148148,0,1
1527150054,0,1
1527152028,1,1
1527153872,1,1
1527155811,1,10
1527157729,1,1
1527161744,0,2
1527163974,5,0
1527165887,1,0
1527167788,3,1
1527169948,1,0
1527174162,0,1
1527175977,3,1
1527179822,1,0
1527181864,1,0
1527183868,0,1
1527186053,1,2
1527187938,2,1
1527190122,1,3
1527192105,1,1
1527195885,0,1
1527197808,0,2
1527199722,1,0
1527201943,1,1
1527203794,2,1
1527211964,0,2
1527213909,1,1
1527215823,1,3
1527217740,1,1
1527219644,2,2
1527223485,0,1
1527225417,1,0
1527227301,1,2
1527229255,0,4
1527231154,5,1
1527233104,0,1
1527234983,1,1
1527236959,0,2
1527238896,1,0
1527240932,1,0
1527242913,2,1
